name,position_number,bank_number,active,parent_node,tree_number,title_rank,past_title_rank,paid_point,bonus_point,total_paid_point,total_bonus_point,binary_number_1,binary_number_3,binary_number_5,binary_number_7,riseup_binary_bonus,product_free_bonus,matching_bonus,car_bonus,house_bonus,sharing_bonus
Node_1,3,2,True,,12496,3,0,20790,9061000,20790,9061000,6820,5562,0,0,9061000,0,0,0,0,8514752
Node_2,3,2,True,Node_1,2787,1,0,20790,2754000,20790,2754000,2638,0,0,0,2754000,0,0,0,0,0
Node_3,1,2,True,Node_1,2782,1,0,20790,2100000,20790,2100000,1732,0,0,0,2100000,0,0,0,0,0
Node_4,5,2,True,Node_1,3411,1,0,20790,2850000,20790,2850000,2830,0,0,0,2850000,0,0,0,0,0
Node_5,7,2,True,Node_1,3515,1,0,20790,2620000,20790,2620000,2370,0,0,0,2620000,0,0,0,0,0
Node_6,3,0,True,Node_1,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_7,3,2,True,Node_2,1466,1,0,20790,667500,20790,667500,586,0,0,0,667500,0,0,0,0,0
Node_8,1,2,True,Node_2,1320,1,0,20790,962500,20790,962500,822,0,0,0,962500,0,0,0,0,0
Node_9,7,2,True,Node_3,1914,1,0,20790,1425000,20790,1425000,1192,0,0,0,1425000,0,0,0,0,0
Node_10,7,2,True,Node_3,867,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_11,3,2,True,Node_4,1416,1,0,20790,462500,20790,462500,422,0,0,0,462500,0,0,0,0,0
Node_12,3,2,True,Node_4,1994,1,0,20790,2345000,20790,2345000,1928,0,0,0,2345000,0,0,0,0,0
Node_13,3,2,True,Node_5,1186,1,0,20790,1277500,20790,1277500,1074,0,0,0,1277500,0,0,0,0,0
Node_14,1,2,True,Node_5,2328,1,0,20790,2570000,20790,2570000,2270,0,0,0,2570000,0,0,0,0,0
Node_15,5,0,True,Node_6,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_16,5,0,True,Node_6,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_17,5,2,True,Node_7,1171,1,0,20790,1350000,20790,1350000,1132,0,0,0,1350000,0,0,0,0,0
Node_18,3,2,True,Node_7,294,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_19,3,2,True,Node_8,412,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_20,7,2,True,Node_8,907,1,0,20790,792500,20790,792500,686,0,0,0,792500,0,0,0,0,0
Node_21,1,2,True,Node_9,597,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_22,3,2,True,Node_9,1316,1,0,20790,1427500,20790,1427500,1194,0,0,0,1427500,0,0,0,0,0
Node_23,1,2,True,Node_10,866,1,0,20790,577500,20790,577500,514,0,0,0,577500,0,0,0,0,0
Node_24,5,0,True,Node_10,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_25,5,2,True,Node_11,1203,1,0,20790,1290000,20790,1290000,1084,0,0,0,1290000,0,0,0,0,0
Node_26,1,2,True,Node_11,212,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_27,5,2,True,Node_12,1028,1,0,20790,922500,20790,922500,790,0,0,0,922500,0,0,0,0,0
Node_28,5,2,True,Node_12,965,1,0,20790,1085000,20790,1085000,920,0,0,0,1085000,0,0,0,0,0
Node_29,3,2,True,Node_13,647,1,0,20790,545000,20790,545000,488,0,0,0,545000,0,0,0,0,0
Node_30,1,2,True,Node_13,538,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_31,5,2,True,Node_14,1191,1,0,20790,1292500,20790,1292500,1086,0,0,0,1292500,0,0,0,0,0
Node_32,1,2,True,Node_14,1136,1,0,20790,917500,20790,917500,786,0,0,0,917500,0,0,0,0,0
Node_33,3,0,True,Node_15,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_34,1,0,True,Node_15,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_35,7,0,True,Node_16,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_36,5,0,True,Node_16,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_37,5,2,True,Node_17,603,1,0,20790,640000,20790,640000,564,0,0,0,640000,0,0,0,0,0
Node_38,7,2,True,Node_17,567,1,0,20790,577500,20790,577500,514,0,0,0,577500,0,0,0,0,0
Node_39,7,0,True,Node_18,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_40,1,2,True,Node_18,293,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_41,5,2,True,Node_19,411,1,0,20790,375000,20790,375000,352,0,0,0,375000,0,0,0,0,0
Node_42,7,0,True,Node_19,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_43,5,2,True,Node_20,562,1,0,20790,567500,20790,567500,506,0,0,0,567500,0,0,0,0,0
Node_44,5,2,True,Node_20,344,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_45,3,0,True,Node_21,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_46,7,2,True,Node_21,596,1,0,20790,552500,20790,552500,494,0,0,0,552500,0,0,0,0,0
Node_47,1,2,True,Node_22,717,1,0,20790,787500,20790,787500,682,0,0,0,787500,0,0,0,0,0
Node_48,1,2,True,Node_22,598,1,0,20790,547500,20790,547500,490,0,0,0,547500,0,0,0,0,0
Node_49,3,2,True,Node_23,258,1,0,20790,159000,20790,159000,174,0,0,0,159000,0,0,0,0,0
Node_50,5,2,True,Node_23,607,1,0,20790,607500,20790,607500,538,0,0,0,607500,0,0,0,0,0
Node_51,1,0,True,Node_24,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_52,7,0,True,Node_24,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_53,7,2,True,Node_25,659,1,0,20790,685000,20790,685000,600,0,0,0,685000,0,0,0,0,0
Node_54,1,2,True,Node_25,543,1,0,20790,565000,20790,565000,504,0,0,0,565000,0,0,0,0,0
Node_55,7,0,True,Node_26,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_56,5,2,True,Node_26,211,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_57,1,2,True,Node_27,631,1,0,20790,717500,20790,717500,626,0,0,0,717500,0,0,0,0,0
Node_58,1,2,True,Node_27,396,1,0,20790,247500,20790,247500,250,0,0,0,247500,0,0,0,0,0
Node_59,5,2,True,Node_28,503,1,0,20790,275000,20790,275000,272,0,0,0,275000,0,0,0,0,0
Node_60,1,2,True,Node_28,461,1,0,20790,305200,20790,305200,296,0,0,0,305000,0,200,0,0,0
Node_61,5,2,True,Node_29,401,1,0,20790,355000,20790,355000,336,0,0,0,355000,0,0,0,0,0
Node_62,7,2,True,Node_29,245,1,0,20790,235000,20790,235000,240,0,0,0,235000,0,0,0,0,0
Node_63,5,2,True,Node_30,537,1,0,20790,527500,20790,527500,474,0,0,0,527500,0,0,0,0,0
Node_64,7,0,True,Node_30,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_65,5,2,True,Node_31,544,1,0,20790,500000,20790,500000,452,0,0,0,500000,0,0,0,0,0
Node_66,5,2,True,Node_31,646,1,0,20790,517500,20790,517500,466,0,0,0,517500,0,0,0,0,0
Node_67,1,2,True,Node_32,741,1,0,20790,785000,20790,785000,680,0,0,0,785000,0,0,0,0,0
Node_68,5,2,True,Node_32,394,1,0,20790,192500,20790,192500,206,0,0,0,192500,0,0,0,0,0
Node_69,7,0,True,Node_33,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_70,7,0,True,Node_33,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_71,3,0,True,Node_34,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_72,1,0,True,Node_34,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_73,5,0,True,Node_35,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_74,5,0,True,Node_35,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_75,5,0,True,Node_36,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_76,7,0,True,Node_36,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_77,3,2,True,Node_37,319,1,0,20790,257500,20790,257500,258,0,0,0,257500,0,0,0,0,0
Node_78,3,2,True,Node_37,283,1,0,20790,165000,20790,165000,180,0,0,0,165000,0,0,0,0,0
Node_79,5,2,True,Node_38,258,1,0,20790,245000,20790,245000,248,0,0,0,245000,0,0,0,0,0
Node_80,5,2,True,Node_38,308,1,0,20790,255000,20790,255000,256,0,0,0,255000,0,0,0,0,0
Node_81,1,0,True,Node_39,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_82,7,0,True,Node_39,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_83,7,2,True,Node_40,292,1,0,20790,260000,20790,260000,260,0,0,0,260000,0,0,0,0,0
Node_84,5,0,True,Node_40,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_85,1,2,True,Node_41,233,1,0,20790,153000,20790,153000,168,0,0,0,153000,0,0,0,0,0
Node_86,7,2,True,Node_41,177,1,0,20790,121000,20790,121000,136,0,0,0,121000,0,0,0,0,0
Node_87,3,0,True,Node_42,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_88,1,0,True,Node_42,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_89,7,2,True,Node_43,254,1,0,20790,175000,20790,175000,190,0,0,0,175000,0,0,0,0,0
Node_90,7,2,True,Node_43,307,1,0,20790,302550,20790,302550,294,0,0,0,302500,0,50,0,0,0
Node_91,5,2,True,Node_44,343,1,0,20790,330000,20790,330000,316,0,0,0,330000,0,0,0,0,0
Node_92,3,0,True,Node_44,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_93,3,0,True,Node_45,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_94,7,0,True,Node_45,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_95,5,2,True,Node_46,248,1,0,20790,147050,20790,147050,162,0,0,0,147000,0,50,0,0,0
Node_96,7,2,True,Node_46,347,1,0,20790,330000,20790,330000,316,0,0,0,330000,0,0,0,0,0
Node_97,7,2,True,Node_47,342,1,0,20790,345000,20790,345000,328,0,0,0,345000,0,0,0,0,0
Node_98,7,2,True,Node_47,374,1,0,20790,370000,20790,370000,348,0,0,0,370000,0,0,0,0,0
Node_99,3,2,True,Node_48,351,1,0,20790,325000,20790,325000,312,0,0,0,325000,0,0,0,0,0
Node_100,1,2,True,Node_48,246,1,0,20790,101050,20790,101050,116,0,0,0,101000,0,50,0,0,0
Node_101,5,2,True,Node_49,169,1,0,20790,135000,20790,135000,150,0,0,0,135000,0,0,0,0,0
Node_102,7,2,True,Node_49,88,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_103,7,2,True,Node_50,270,1,0,20790,181000,20790,181000,196,0,0,0,181000,0,0,0,0,0
Node_104,7,2,True,Node_50,336,1,0,20790,332700,20790,332700,318,0,0,0,332500,0,200,0,0,0
Node_105,7,0,True,Node_51,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_106,1,0,True,Node_51,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_107,1,0,True,Node_52,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_108,3,0,True,Node_52,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_109,3,2,True,Node_53,357,1,0,20790,347500,20790,347500,330,0,0,0,347500,0,0,0,0,0
Node_110,1,2,True,Node_53,301,1,0,20790,215000,20790,215000,224,0,0,0,215000,0,0,0,0,0
Node_111,3,2,True,Node_54,253,1,0,20790,147000,20790,147000,162,0,0,0,147000,0,0,0,0,0
Node_112,1,2,True,Node_54,289,1,0,20790,177000,20790,177000,192,0,0,0,177000,0,0,0,0,0
Node_113,3,0,True,Node_55,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
